Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,rate,rate_usage,rate_type,rate_basis_id,rate_basis_value,rate_availability
TERM30,0,0,37,37,ST,100000,300000,2.87,,,,,
TERM30,0,0,38,38,ST,100000,300000,3.01,,,,,
TERM30,0,0,39,39,ST,100000,300000,3.15,,,,,
TERM30,0,0,40,40,ST,100000,300000,3.29,,,,,
TERM30,0,0,41,41,ST,100000,300000,3.58,,,,,
TERM30,0,0,42,42,ST,100000,300000,3.88,,,,,
TERM30,0,0,43,43,ST,100000,300000,4.17,,,,,
TERM30,0,0,44,44,ST,100000,300000,4.47,,,,,
TERM30,0,0,45,45,ST,100000,300000,4.76,,,,,
TERM30,0,0,46,46,ST,100000,300000,5.05,,,,,
TERM30,0,0,47,47,ST,100000,300000,5.35,,,,,
TERM30,0,0,48,48,ST,100000,300000,5.64,,,,,
TERM30,0,0,49,49,ST,100000,300000,5.94,,,,,
TERM30,0,0,50,50,ST,100000,300000,6.23,,,,,
TERM30,0,1,18,18,ST,100000,300000,1.78,,,,,
TERM30,0,1,19,19,ST,100000,300000,1.86,,,,,
TERM30,0,1,20,20,ST,100000,300000,1.94,,,,,
TERM30,0,1,21,21,ST,100000,300000,2.02,,,,,
TERM30,0,1,22,22,ST,100000,300000,2.1,,,,,
TERM30,0,1,23,23,ST,100000,300000,2.18,,,,,
TERM30,0,1,24,24,ST,100000,300000,2.26,,,,,
TERM30,0,1,25,25,ST,100000,300000,2.35,,,,,
TERM30,0,1,26,26,ST,100000,300000,2.43,,,,,
TERM30,0,1,27,27,ST,100000,300000,2.51,,,,,
TERM30,0,1,28,28,ST,100000,300000,2.59,,,,,
TERM30,0,1,29,29,ST,100000,300000,2.67,,,,,
TERM30,0,1,30,30,ST,100000,300000,2.75,,,,,
TERM30,0,1,31,31,ST,100000,300000,2.99,,,,,
TERM30,0,1,32,32,ST,100000,300000,3.24,,,,,
TERM30,0,1,33,33,ST,100000,300000,3.48,,,,,
TERM30,0,1,34,34,ST,100000,300000,3.73,,,,,
TERM30,0,1,35,35,ST,100000,300000,3.97,,,,,
TERM30,0,1,36,36,ST,100000,300000,4.21,,,,,
TERM30,0,1,37,37,ST,100000,300000,4.46,,,,,
TERM30,0,1,38,38,ST,100000,300000,4.7,,,,,
TERM30,0,1,39,39,ST,100000,300000,4.95,,,,,
TERM30,0,1,40,40,ST,100000,300000,5.19,,,,,
TERM30,0,1,41,41,ST,100000,300000,5.77,,,,,
TERM30,0,1,42,42,ST,100000,300000,6.36,,,,,
TERM30,0,1,43,43,ST,100000,300000,6.94,,,,,
TERM30,0,1,44,44,ST,100000,300000,7.53,,,,,
TERM30,0,1,45,45,ST,100000,300000,8.11,,,,,
TERM30,0,1,46,46,ST,100000,300000,8.69,,,,,
TERM30,0,1,47,47,ST,100000,300000,9.28,,,,,
TERM30,0,1,48,48,ST,100000,300000,9.86,,,,,
TERM30,0,1,49,49,ST,100000,300000,10.45,,,,,
TERM30,0,1,50,50,ST,100000,300000,11.03,,,,,
