Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,rate
GIBRALTAR_L_TERM10,1,1,36,36,PP,20000,300000,4.78
GIBRALTAR_L_TERM10,0,1,52,52,PF,20000,300000,11.28
GIBRALTAR_L_TERM10,1,0,31,31,ST,20000,300000,3.13
GIBRALTAR_L_TERM10,0,1,67,67,TF,20000,300000,54.82
GIBRALTAR_L_TERM10,1,1,47,47,ST,20000,300000,11.21
GIBRALTAR_L_TERM10,1,1,27,27,ST,20000,300000,4.96
GIBRALTAR_L_TERM10,0,1,67,67,PP,20000,300000,29.90
GIBRALTAR_L_TERM10,0,0,20,20,PP,20000,300000,1.96
GIBRALTAR_L_TERM10,0,0,32,32,ST,20000,300000,2.84
GIBRALTAR_L_TERM10,1,1,36,36,ST,20000,300000,6.38
GIBRALTAR_L_TERM10,0,1,56,56,PF,20000,300000,15.73
GIBRALTAR_L_TERM10,0,0,34,34,PP,20000,300000,2.21
GIBRALTAR_L_TERM10,1,0,70,70,PF,20000,300000,22.14
GIBRALTAR_L_TERM10,0,1,64,64,TF,20000,300000,44.91
GIBRALTAR_L_TERM10,1,0,23,23,TC,20000,300000,3.74
GIBRALTAR_L_TERM10,0,0,51,51,ST,20000,300000,5.19
GIBRALTAR_L_TERM10,1,1,32,32,TF,20000,300000,7.58
GIBRALTAR_L_TERM10,1,1,57,57,TC,20000,300000,29.38
GIBRALTAR_L_TERM10,1,0,45,45,PP,20000,300000,3.55
GIBRALTAR_L_TERM10,1,1,32,32,ST,20000,300000,5.51
GIBRALTAR_L_TERM10,1,0,39,39,TC,20000,300000,4.50
GIBRALTAR_L_TERM10,0,1,52,52,PP,20000,300000,9.67
GIBRALTAR_L_TERM10,0,0,32,32,TC,20000,300000,3.55
GIBRALTAR_L_TERM10,1,0,67,67,TF,20000,300000,29.09
GIBRALTAR_L_TERM10,1,1,57,57,ST,20000,300000,23.51
GIBRALTAR_L_TERM10,0,1,26,26,PP,20000,300000,3.13
GIBRALTAR_L_TERM10,0,0,31,31,ST,20000,300000,2.79
GIBRALTAR_L_TERM10,0,0,63,63,TF,20000,300000,16.17
GIBRALTAR_L_TERM10,1,1,59,59,ST,20000,300000,26.53
GIBRALTAR_L_TERM10,0,1,43,43,TF,20000,300000,10.03
GIBRALTAR_L_TERM10,0,0,45,45,TF,20000,300000,5.52
GIBRALTAR_L_TERM10,1,1,21,21,TF,20000,300000,6.47
GIBRALTAR_L_TERM10,1,0,59,59,PP,20000,300000,8.18
GIBRALTAR_L_TERM10,1,0,45,45,TC,20000,300000,5.91
GIBRALTAR_L_TERM10,1,1,38,38,TF,20000,300000,9.36
GIBRALTAR_L_TERM10,1,1,26,26,PF,20000,300000,4.31
GIBRALTAR_L_TERM10,0,1,65,65,TF,20000,300000,48.22
GIBRALTAR_L_TERM10,0,1,41,41,PP,20000,300000,4.82
GIBRALTAR_L_TERM10,1,0,32,32,TF,20000,300000,4.39
GIBRALTAR_L_TERM10,1,0,34,34,PF,20000,300000,2.89
GIBRALTAR_L_TERM10,0,0,35,35,PP,20000,300000,2.25
GIBRALTAR_L_TERM10,1,1,37,37,TF,20000,300000,9.06
GIBRALTAR_L_TERM10,0,0,47,47,ST,20000,300000,4.32
GIBRALTAR_L_TERM10,0,1,63,63,PP,20000,300000,22.70
GIBRALTAR_L_TERM10,0,0,45,45,TC,20000,300000,5.01
GIBRALTAR_L_TERM10,1,1,25,25,TC,20000,300000,6.10
GIBRALTAR_L_TERM10,1,0,29,29,TC,20000,300000,3.82
GIBRALTAR_L_TERM10,0,0,58,58,PP,20000,300000,5.97
GIBRALTAR_L_TERM10,1,0,61,61,TC,20000,300000,16.07
GIBRALTAR_L_TERM10,0,0,69,69,ST,20000,300000,17.74
GIBRALTAR_L_TERM10,0,1,64,64,ST,20000,300000,32.66
GIBRALTAR_L_TERM10,1,0,52,52,PP,20000,300000,5.20
GIBRALTAR_L_TERM10,0,0,33,33,PP,20000,300000,2.17
GIBRALTAR_L_TERM10,0,0,56,56,TF,20000,300000,9.87
GIBRALTAR_L_TERM10,0,0,44,44,ST,20000,300000,3.86
GIBRALTAR_L_TERM10,1,1,66,66,ST,20000,300000,45.17
GIBRALTAR_L_TERM10,1,1,69,69,ST,20000,300000,53.74
GIBRALTAR_L_TERM10,1,0,22,22,PP,20000,300000,2.22
GIBRALTAR_L_TERM10,1,0,40,40,PF,20000,300000,3.21
GIBRALTAR_L_TERM10,0,0,37,37,TC,20000,300000,3.86
GIBRALTAR_L_TERM10,0,0,43,43,TC,20000,300000,4.63
GIBRALTAR_L_TERM10,0,1,60,60,ST,20000,300000,23.05
GIBRALTAR_L_TERM10,1,1,42,42,PF,20000,300000,7.34
GIBRALTAR_L_TERM10,1,1,32,32,TC,20000,300000,6.89
GIBRALTAR_L_TERM10,0,0,61,61,ST,20000,300000,9.74
GIBRALTAR_L_TERM10,1,0,24,24,PP,20000,300000,2.25
GIBRALTAR_L_TERM10,1,1,39,39,PF,20000,300000,6.15
GIBRALTAR_L_TERM10,1,0,64,64,ST,20000,300000,17.00
GIBRALTAR_L_TERM10,1,0,45,45,TF,20000,300000,6.51
GIBRALTAR_L_TERM10,1,1,35,35,PP,20000,300000,4.62
GIBRALTAR_L_TERM10,0,1,20,20,ST,20000,300000,3.84
GIBRALTAR_L_TERM10,0,1,43,43,PF,20000,300000,6.38
GIBRALTAR_L_TERM10,0,1,68,68,PP,20000,300000,31.71
GIBRALTAR_L_TERM10,0,0,62,62,PF,20000,300000,9.41
GIBRALTAR_L_TERM10,0,0,51,51,PP,20000,300000,3.89
GIBRALTAR_L_TERM10,1,0,37,37,PF,20000,300000,3.05
GIBRALTAR_L_TERM10,1,0,30,30,PP,20000,300000,2.30
GIBRALTAR_L_TERM10,0,0,69,69,TC,20000,300000,22.17
GIBRALTAR_L_TERM10,0,1,69,69,ST,20000,300000,44.68
GIBRALTAR_L_TERM10,1,1,45,45,TF,20000,300000,13.85
GIBRALTAR_L_TERM10,0,1,37,37,PF,20000,300000,4.82
GIBRALTAR_L_TERM10,1,0,62,62,TC,20000,300000,17.79
GIBRALTAR_L_TERM10,0,1,23,23,PP,20000,300000,3.00
GIBRALTAR_L_TERM10,1,1,55,55,ST,20000,300000,20.49
GIBRALTAR_L_TERM10,1,1,54,54,PF,20000,300000,16.59
GIBRALTAR_L_TERM10,0,0,65,65,PF,20000,300000,12.03
GIBRALTAR_L_TERM10,0,0,45,45,ST,20000,300000,4.01
GIBRALTAR_L_TERM10,0,1,50,50,TF,20000,300000,14.24
GIBRALTAR_L_TERM10,0,1,22,22,PP,20000,300000,2.97
GIBRALTAR_L_TERM10,0,0,54,54,TC,20000,300000,7.97
GIBRALTAR_L_TERM10,0,0,29,29,PF,20000,300000,2.38
GIBRALTAR_L_TERM10,1,1,35,35,TF,20000,300000,8.48
GIBRALTAR_L_TERM10,0,1,34,34,ST,20000,300000,5.01
GIBRALTAR_L_TERM10,1,1,30,30,TF,20000,300000,6.99
GIBRALTAR_L_TERM10,0,0,26,26,PF,20000,300000,2.37
GIBRALTAR_L_TERM10,1,0,57,57,PP,20000,300000,7.34
GIBRALTAR_L_TERM10,1,0,50,50,TC,20000,300000,7.24
GIBRALTAR_L_TERM10,0,0,36,36,ST,20000,300000,3.04
GIBRALTAR_L_TERM10,0,0,27,27,PF,20000,300000,2.37
GIBRALTAR_L_TERM10,1,1,66,66,TF,20000,300000,62.11
GIBRALTAR_L_TERM10,1,1,53,53,ST,20000,300000,17.46
GIBRALTAR_L_TERM10,0,0,46,46,PP,20000,300000,3.13
GIBRALTAR_L_TERM10,0,1,65,65,PF,20000,300000,30.68
GIBRALTAR_L_TERM10,1,1,35,35,ST,20000,300000,6.16
GIBRALTAR_L_TERM10,0,0,68,68,TC,20000,300000,20.93
GIBRALTAR_L_TERM10,0,1,39,39,ST,20000,300000,5.82
GIBRALTAR_L_TERM10,1,0,70,70,ST,20000,300000,25.30
GIBRALTAR_L_TERM10,1,0,63,63,PP,20000,300000,11.72
GIBRALTAR_L_TERM10,1,0,26,26,PF,20000,300000,2.64
GIBRALTAR_L_TERM10,0,0,53,53,TF,20000,300000,8.22
GIBRALTAR_L_TERM10,0,1,65,65,TC,20000,300000,43.84
GIBRALTAR_L_TERM10,1,0,45,45,PF,20000,300000,4.14
GIBRALTAR_L_TERM10,0,0,46,46,TC,20000,300000,5.21
GIBRALTAR_L_TERM10,0,0,18,18,PF,20000,300000,2.25
GIBRALTAR_L_TERM10,1,1,24,24,ST,20000,300000,4.83
GIBRALTAR_L_TERM10,1,0,30,30,PF,20000,300000,2.68
GIBRALTAR_L_TERM10,0,1,37,37,ST,20000,300000,5.51
GIBRALTAR_L_TERM10,1,0,67,67,PF,20000,300000,18.51
GIBRALTAR_L_TERM10,1,1,51,51,ST,20000,300000,14.43
GIBRALTAR_L_TERM10,0,1,58,58,TC,20000,300000,25.64
GIBRALTAR_L_TERM10,0,1,60,60,PP,20000,300000,17.30
GIBRALTAR_L_TERM10,1,1,65,65,TF,20000,300000,58.19
GIBRALTAR_L_TERM10,0,0,24,24,TC,20000,300000,3.34
GIBRALTAR_L_TERM10,0,0,46,46,ST,20000,300000,4.16
GIBRALTAR_L_TERM10,0,1,47,47,TF,20000,300000,12.44
GIBRALTAR_L_TERM10,1,1,30,30,PP,20000,300000,3.82
GIBRALTAR_L_TERM10,1,1,28,28,PP,20000,300000,3.75
GIBRALTAR_L_TERM10,0,0,26,26,PP,20000,300000,2.02
GIBRALTAR_L_TERM10,0,1,23,23,ST,20000,300000,4.00
GIBRALTAR_L_TERM10,1,0,22,22,PF,20000,300000,2.59
GIBRALTAR_L_TERM10,1,0,55,55,ST,20000,300000,8.64
GIBRALTAR_L_TERM10,0,1,63,63,TC,20000,300000,37.83
GIBRALTAR_L_TERM10,0,0,36,36,TC,20000,300000,3.81
GIBRALTAR_L_TERM10,1,1,64,64,TF,20000,300000,54.26
GIBRALTAR_L_TERM10,0,1,41,41,ST,20000,300000,6.42
GIBRALTAR_L_TERM10,1,1,47,47,TC,20000,300000,14.02
GIBRALTAR_L_TERM10,1,0,68,68,TC,20000,300000,28.17
GIBRALTAR_L_TERM10,1,1,37,37,TC,20000,300000,8.23
GIBRALTAR_L_TERM10,0,1,39,39,PP,20000,300000,4.36
GIBRALTAR_L_TERM10,0,1,27,27,TF,20000,300000,5.81
GIBRALTAR_L_TERM10,1,1,31,31,PF,20000,300000,4.63
GIBRALTAR_L_TERM10,1,0,20,20,TC,20000,300000,3.68
GIBRALTAR_L_TERM10,0,0,65,65,ST,20000,300000,13.75
GIBRALTAR_L_TERM10,0,0,55,55,ST,20000,300000,6.77
GIBRALTAR_L_TERM10,0,0,63,63,ST,20000,300000,11.75
GIBRALTAR_L_TERM10,1,1,46,46,TC,20000,300000,13.31
GIBRALTAR_L_TERM10,0,0,59,59,TC,20000,300000,10.45
GIBRALTAR_L_TERM10,0,0,21,21,PF,20000,300000,2.30
GIBRALTAR_L_TERM10,1,0,42,42,PF,20000,300000,3.56
GIBRALTAR_L_TERM10,1,0,60,60,TF,20000,300000,15.77
GIBRALTAR_L_TERM10,1,1,60,60,ST,20000,300000,28.05
GIBRALTAR_L_TERM10,0,1,22,22,ST,20000,300000,3.94
GIBRALTAR_L_TERM10,0,0,40,40,PF,20000,300000,2.84
GIBRALTAR_L_TERM10,1,1,31,31,ST,20000,300000,5.30
GIBRALTAR_L_TERM10,0,0,30,30,TC,20000,300000,3.43
GIBRALTAR_L_TERM10,1,1,32,32,PF,20000,300000,4.82
GIBRALTAR_L_TERM10,1,1,64,64,PF,20000,300000,34.52
GIBRALTAR_L_TERM10,0,1,50,50,TC,20000,300000,12.95
GIBRALTAR_L_TERM10,1,1,67,67,PF,20000,300000,42.03
GIBRALTAR_L_TERM10,0,0,44,44,TF,20000,300000,5.31
GIBRALTAR_L_TERM10,1,1,18,18,TC,20000,300000,5.75
GIBRALTAR_L_TERM10,1,0,58,58,ST,20000,300000,10.33
GIBRALTAR_L_TERM10,0,1,26,26,TC,20000,300000,5.21
GIBRALTAR_L_TERM10,1,0,26,26,ST,20000,300000,3.02
GIBRALTAR_L_TERM10,1,0,68,68,PF,20000,300000,19.72
GIBRALTAR_L_TERM10,1,1,27,27,PF,20000,300000,4.35
GIBRALTAR_L_TERM10,1,0,64,64,PF,20000,300000,14.87
GIBRALTAR_L_TERM10,1,1,45,45,TC,20000,300000,12.59
GIBRALTAR_L_TERM10,1,0,21,21,TF,20000,300000,4.07
GIBRALTAR_L_TERM10,0,0,51,51,TC,20000,300000,6.49
GIBRALTAR_L_TERM10,0,1,36,36,TF,20000,300000,7.34
GIBRALTAR_L_TERM10,0,0,56,56,ST,20000,300000,7.16
GIBRALTAR_L_TERM10,0,1,51,51,TC,20000,300000,14.54
