Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,
TERM15D,0,1,20,20,TC,500000,1000000,2.2575
TERM15D,0,1,21,21,TC,500000,1000000,2.3625
TERM15D,0,1,22,22,TC,500000,1000000,2.45
TERM15D,0,1,23,23,TC,500000,1000000,2.555
TERM15D,0,1,24,24,TC,500000,1000000,2.6425
TERM15D,0,1,25,25,TC,500000,1000000,2.7475
TERM15D,0,1,26,26,TC,500000,1000000,2.835
TERM15D,0,1,27,27,TC,500000,1000000,2.94
TERM15D,0,1,28,28,TC,500000,1000000,3.0275
TERM15D,0,1,29,29,TC,500000,1000000,3.1325
TERM15D,0,1,30,30,TC,500000,1000000,3.22
TERM15D,0,1,31,31,TC,500000,1000000,3.465
TERM15D,0,1,32,32,TC,500000,1000000,3.7275
TERM15D,0,1,33,33,TC,500000,1000000,3.9725
TERM15D,0,1,34,34,TC,500000,1000000,4.235
TERM15D,0,1,35,35,TC,500000,1000000,4.48
TERM15D,0,1,36,36,TC,500000,1000000,4.725
TERM15D,0,1,37,37,TC,500000,1000000,4.9875
TERM15D,0,1,38,38,TC,500000,1000000,5.2325
TERM15D,0,1,39,39,TC,500000,1000000,5.495
TERM15D,0,1,40,40,TC,500000,1000000,5.74
TERM15D,0,1,41,41,TC,500000,1000000,6.475
TERM15D,0,1,42,42,TC,500000,1000000,7.21
TERM15D,0,1,43,43,TC,500000,1000000,7.9275
TERM15D,0,1,44,44,TC,500000,1000000,8.6625
TERM15D,0,1,45,45,TC,500000,1000000,9.3975
TERM15D,0,1,46,46,TC,500000,1000000,10.1325
TERM15D,0,1,47,47,TC,500000,1000000,10.8675
TERM15D,0,1,48,48,TC,500000,1000000,11.585
TERM15D,0,1,49,49,TC,500000,1000000,12.32
TERM15D,0,1,50,50,TC,500000,1000000,13.055
TERM15D,0,1,51,51,TC,500000,1000000,14.91
TERM15D,0,1,52,52,TC,500000,1000000,16.765
TERM15D,0,1,53,53,TC,500000,1000000,18.62
TERM15D,0,1,54,54,TC,500000,1000000,20.475
TERM15D,0,1,55,55,TC,500000,1000000,22.33
TERM15D,0,1,56,56,TC,500000,1000000,24.1675
TERM15D,0,1,57,57,TC,500000,1000000,26.0225
TERM15D,0,1,58,58,TC,500000,1000000,27.8775
TERM15D,0,1,59,59,TC,500000,1000000,29.7325
TERM15D,0,1,60,60,TC,500000,1000000,31.5875
TERM15D,0,1,61,61,TC,500000,1000000,34.6325
TERM15D,0,1,62,62,TC,500000,1000000,37.6775
TERM15D,0,1,63,63,TC,500000,1000000,40.705
TERM15D,0,1,64,64,TC,500000,1000000,43.75
TERM15D,0,1,65,65,TC,500000,1000000,46.795
