UW Class,Min Age,Max Age,Height,Min Weight,Max Weight,Gender,Smoker,Plan Code,MinFaceAmount,MaxFaceAmount
ST,45,99,198.12,129.7274178,141.0672271,,,,0,300000
ST,45,99,200.66,132.9025644,144.695966,,,,0,300000
ST,45,99,203.2,136.5313034,148.324705,,,,0,300000
TC,45,99,144.78,75.74992579,87.99691978,,,,0,300000
TC,45,99,147.32,78.47148001,91.17206637,,,,0,300000
TC,45,99,149.86,81.19303423,93.89362059,,,,0,300000
TC,45,99,152.4,83.91458845,97.52235955,,,,0,300000
TC,45,99,154.94,86.63614267,100.6975061,,,,0,300000
TC,45,99,157.48,89.35769689,103.8726527,,,,0,300000
TC,45,99,160.02,92.53284348,107.5013917,,,,0,300000
TC,45,99,162.56,95.2543977,110.6765383,,,,0,300000
TC,45,99,165.1,98.42954429,114.3052772,,,,0,300000
TC,45,99,167.64,101.1510985,117.9340162,,,,0,300000
TC,45,99,170.18,104.3262451,121.5627552,,,,0,300000
TC,45,99,172.72,107.5013917,125.1914941,,,,0,300000
TC,45,99,175.26,110.6765383,128.8202331,,,,0,300000
TC,45,99,177.8,113.8516849,132.448972,,,,0,300000
TC,45,99,180.34,117.0268315,136.077711,,,,0,300000
TC,45,99,182.88,120.6555704,140.1600423,,,,0,300000
TC,45,99,185.42,123.830717,144.2423737,,,,0,300000
TC,45,99,187.96,127.459456,147.8711126,,,,0,300000
TC,45,99,190.5,130.6346026,151.953444,,,,0,300000
TC,45,99,193.04,134.2633415,156.0357753,,,,0,300000
TC,45,99,195.58,137.8920805,160.1181066,,,,0,300000
TC,45,99,198.12,141.5208194,164.6540303,,,,0,300000
TC,45,99,200.66,145.1495584,168.7363616,,,,0,300000
TC,45,99,203.2,148.7782974,172.818693,,,,0,300000
TF,45,99,144.78,75.74992579,87.99691978,,,,0,300000
TF,45,99,147.32,78.47148001,91.17206637,,,,0,300000
TF,45,99,149.86,81.19303423,93.89362059,,,,0,300000
TF,45,99,152.4,83.91458845,97.52235955,,,,0,300000
TF,45,99,154.94,86.63614267,100.6975061,,,,0,300000
TF,45,99,157.48,89.35769689,103.8726527,,,,0,300000
TF,45,99,160.02,92.53284348,107.5013917,,,,0,300000
TF,45,99,162.56,95.2543977,110.6765383,,,,0,300000
TF,45,99,165.1,98.42954429,114.3052772,,,,0,300000
TF,45,99,167.64,101.1510985,117.9340162,,,,0,300000
TF,45,99,170.18,104.3262451,121.5627552,,,,0,300000
TF,45,99,172.72,107.5013917,125.1914941,,,,0,300000
TF,45,99,175.26,110.6765383,128.8202331,,,,0,300000
TF,45,99,177.8,113.8516849,132.448972,,,,0,300000
TF,45,99,180.34,117.0268315,136.077711,,,,0,300000
TF,45,99,182.88,120.6555704,140.1600423,,,,0,300000
TF,45,99,185.42,123.830717,144.2423737,,,,0,300000
TF,45,99,187.96,127.459456,147.8711126,,,,0,300000
TF,45,99,190.5,130.6346026,151.953444,,,,0,300000
TF,45,99,193.04,134.2633415,156.0357753,,,,0,300000
TF,45,99,195.58,137.8920805,160.1181066,,,,0,300000
TF,45,99,198.12,141.5208194,164.6540303,,,,0,300000
TF,45,99,200.66,145.1495584,168.7363616,,,,0,300000
TF,45,99,203.2,148.7782974,172.818693,,,,0,300000
